cc W7-X op1.1 #20160309.010, 0.32s, conf. w7x-lim-op1_1 (standard), 2.0 MW X2 ECRH                                      
cc power scan: 2.0, 0.6, 1.2 MW (comp. #20160309.029 with conf. w7x-lim-op1_1_io12)                                     
cc profiles from file prfl_20160309.010_0.32.dat
c r/a,r[m],ne[10^20/m^3],ni[10^20/m^3],Te[keV],Ti[keV],Er[kV/m],Zeff,F[10^21/s],Q[MW]
  0.8384  0.4276  0.0681  0.0681  0.5937  0.4316 -6.2969  1.0010  0.0141  0.0160
  0.8485  0.4327  0.0650  0.0650  0.5664  0.4135 -6.2719  1.0010  0.0132  0.0144
  0.8586  0.4379  0.0619  0.0619  0.5394  0.3954 -6.2349  1.0010  0.0123  0.0129
  0.8687  0.4430  0.0589  0.0589  0.5127  0.3774 -6.1852  1.0010  0.0114  0.0116
  0.8788  0.4482  0.0560  0.0560  0.4864  0.3595 -6.1222  1.0010  0.0105  0.0103
  0.8889  0.4533  0.0531  0.0531  0.4605  0.3417 -6.0453  1.0010  0.0096  0.0091
  0.8990  0.4585  0.0503  0.0503  0.4351  0.3241 -5.9531  1.0010  0.0088  0.0080
  0.9091  0.4636  0.0476  0.0476  0.4100  0.3066 -5.8513  1.0010  0.0079  0.0070
  0.9192  0.4688  0.0449  0.0449  0.3855  0.2893 -5.7396  1.0010  0.0072  0.0060
  0.9293  0.4739  0.0424  0.0424  0.3615  0.2723 -5.6197  1.0010  0.0064  0.0052
  0.9394  0.4791  0.0399  0.0399  0.3379  0.2555 -5.4913  1.0010  0.0057  0.0045
  0.9495  0.4842  0.0375  0.0375  0.3150  0.2389 -5.3534  1.0010  0.0051  0.0038
  0.9596  0.4894  0.0352  0.0352  0.2926  0.2227 -5.2057  1.0010  0.0045  0.0032
  0.9697  0.4945  0.0330  0.0330  0.2709  0.2068 -5.0472  1.0010  0.0039  0.0027
  0.9798  0.4997  0.0309  0.0309  0.2497  0.1913 -4.8797  1.0010  0.0034  0.0022
  0.9899  0.5048  0.0288  0.0288  0.2293  0.1762 -4.7006  1.0010  0.0029  0.0018
  1.0000  0.5100  0.0269  0.0269  0.2095  0.1615 -4.5760  1.0010  0.0026  0.0015
